ensemble_cluster_id,product_idx,supermarket,source,confidence,reason
10915,4858,ASDA,llm_r3_retry,0.99,"Same brand (Yellow Tail), same variety (Sauvignon Blanc), same volume (750ml), same pack count (1). Candidate A includes 'White Wine' descriptor which is supple"
8116,40979,Sains,llm_r3_retry,0.95,"Same brand (Old Crafty Hen), same variety (ale/vintage ale), same volume (500ml), same pack count (1). Minor variation in descriptor ('6.5% Ale Beer' vs 'Vintag"
8328,22994,Morrisons,llm_r3_retry,0.95,"Dark brown soft sugar, 500g matches cluster exactly. Silver Spoon is a branded alternative to own-brand products, but core product (dark soft brown sugar, 500g)"
8775,49757,Tesco,llm_r3_retry,0.95,"Stockwell & Co is Tesco's own-brand equivalent. Orange Marmalade, Thick Cut variety, 454g matches cluster specifications exactly. Own-brand of different SM allo"
2226,39741,Sains,llm_r3_retry,0.95,"Same brand (Malibu), same variety (Original), same volume (700ml/70cl), same product type (rum liqueur with coconut flavour)"
2228,24888,Morrisons,llm_r3_retry,0.95,"CleanCo Clean G Non-Alcoholic Gin Replacement matches the cluster's core product: same brand (CleanCo/Clean Co), same non-alcoholic spirit category, same 700ml "
2550,47191,Sains,llm_r3_retry,0.95,"White Zinfandel Rosé wine, 750ml. Matches variety (White Zinfandel), style (Rosé), and volume. Blossom Hill is a different brand from cluster entries, but clust"
2653,38900,Sains,llm_r3_retry,0.95,"Sainsbury's Medium Dry Low Alcohol Apple Cider 500ml matches the cluster: same brand (Stowford Press equivalent - low alcohol apple cider), same variety (low al"
8417,27136,Morrisons,llm_r3_retry,0.95,"Lindt Lindor Salted Caramel Egg, 259.3g matches the cluster's Lindt Milk Chocolate Easter Egg with Salted Caramel Truffles at ~260g. Same brand, same flavor (sa"
8373,47431,Sains,llm_r3_retry,0.95,"Lindt Gold Bunny, white chocolate, 200g matches cluster exactly. Option A is 195g (different weight), G is special edition milk chocolate (different flavour), E"
