ensemble_cluster_id,cluster_size,missing_sm,match_letter,picked_idx,confidence,reason,n_candidates
45,3,Sains,NONE,,0.95,"Candidate A contains ginger and galangal in addition to turmeric, making it a different variety/flavour from the cluster's pure turmeric product. All other cand",8
29,3,Morrisons,NONE,,0.95,"Cluster is Nescafé Original Instant Coffee 300g. No Morrisons candidate matches this brand, product type, or weight. All candidates are different products (oat ",8
4,3,Sains,NONE,,0.95,"Cluster is Kenyan ground coffee (225-227g), all candidates are either different origins (Indian, Colombian), different types (decaf), different brands, or diffe",8
15,3,Tesco,NONE,,0.98,"Cluster is Mellow Bird's brand instant coffee powder 100g. All candidates are either different brands (Nescafe, Taylors, Melitta, Tesco, Hearty Food Co.) or dif",8
33,3,Tesco,NONE,,0.95,"Cluster is Nescafe Gold Blend Alta Rica (190-200g jar instant coffee). No Tesco candidate matches: A is tea, B/D/E/F are flavored sachets (different format and ",8
13,3,Morrisons,NONE,,0.95,"Cluster is Lavazza Qualità Oro branded coffee 250g. No candidate matches: A-B-D are Morrisons own-brand different varieties, C-E are Caffe Nero (different brand",8
23,3,Morrisons,NONE,,0.95,"Cluster is Illy brand Espresso/Dark Roast 250g. Candidates A, C, D, H are own-brand Morrisons (different brand). B, E, G are Caffe Nero (different brand). F is ",8
3,3,Tesco,NONE,,0.95,"Cluster contains espresso coffee beans (whole beans) from multiple own-brands. Tesco candidates C, D, E, F are own-brand but: C is 'House Blend' (different vari",8
17,3,Morrisons,NONE,,0.95,"Cluster contains premium branded coffees (Fairtrade Organic Nicaraguan, Peruvian Machu Picchu varieties, 225-227g). Candidates A and B are Morrisons own-brand (",8
47,3,Tesco,NONE,,0.95,"Cluster is Yorkshire Gold Tea Bags 160 pack 500g. No Tesco candidate matches this tea product - candidates are candles, beer, chocolate clusters, cake topper, o",8
5,2,Sains,NONE,,0.95,"Cluster is ground coffee (225-227g). Candidate A is whole beans (different form), candidates B-H are non-coffee products or different product categories entirel",8
54,2,Sains,NONE,,0.95,"Cluster is Taylors of Harrogate Yorkshire Tea Black Loose Leaf Tea 250g. Candidates A and B are Taylors of Harrogate coffees (different product category), C is ",8
48,2,Sains,NONE,,0.95,Cluster is Taylors of Harrogate Yorkshire Tea 240 bags 750g. Candidate G is a different brand (REAL) and different product type (sparkling tea vs traditional te,8
63,3,Tesco,A,55091.0,0.75,"Same core product (Yorkshire Tea, 40 bags, 125g) but missing 'Taylors of Harrogate' brand name in Tesco listing - likely same product with simplified branding o",8
50,3,Tesco,NONE,,0.95,Cluster is decaffeinated instant coffee 200g. Option E is decaf but 227g (wrong weight). Option D is decaf but only 150g and branded Kenco. No Tesco own-brand d,8
54,2,Tesco,NONE,,0.95,"Cluster is Taylors of Harrogate Yorkshire Tea Black Loose Leaf 250g. Candidate A is Yorkshire brand teabags (not loose leaf, different brand). No Taylors of Har",8
48,2,Tesco,NONE,,0.95,"Cluster is Taylors of Harrogate Yorkshire Tea 240 bags (750g). Candidate A is Taylors of Harrogate Italian Coffee Beans (different product category, different w",8
34,3,Tesco,NONE,,0.95,"Cluster contains Nescafe Gold Blend Smooth (instant coffee) and Nescafe Gold Latte (sachets). No Tesco candidate matches this specific brand, variety, and forma",8
66,3,Morrisons,NONE,,0.95,"Cluster is green tea with lemon flavor, 20 tea bags. Candidates A (Twinings, Lemon & Ginger), D (Good Earth, Lemon Ginger Turmeric), and E (Tetley, Berry) have ",8
5,2,Morrisons,NONE,,0.95,"Cluster is ground coffee (225-227g), candidates are all ready-to-drink beverages or non-coffee products. Different product categories entirely.",8
69,3,Sains,NONE,,0.95,"Cluster is Twinings Rooibos & Honey (20 bags, 36g). No candidate matches this specific flavour combination. All candidates have different flavours (Blackcurrant",8
21,3,Morrisons,NONE,,0.99,"Cluster is L'OR Instant Coffee (2 varieties: Intense and Classique, 150g). Candidates B and C are Caffe Nero Ground Coffee (different brand, different product t",8
95,2,Tesco,A,58675.0,0.95,"Peppermint tea variety, 40 tea bags pack count matches cluster. Only difference is weight (60g vs 80g in cluster), but this is a minor variation in the same cor",8
102,2,Morrisons,NONE,,0.95,Cluster is Taylors of Harrogate Rich Italian (200g). Candidates A-C are Morrisons own-brand with different branding. D-E are Caffe Nero (different brand). F is ,8
14,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
2,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
101,3,Morrisons,A,20579.0,0.75,"Tetley Decaf Tea Bags matches brand and variety. However, pack count (160 bags) and weight (500g) are not explicitly stated in candidate A, creating minor uncer",8
46,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
38,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
28,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
18,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
28,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
109,3,Tesco,NONE,,0.95,"The cluster is Tassimo Kenco Café Au Lait Coffee Pods x16 (180g). Candidate A is Tassimo Suny Black, which is a different variety/flavour. All other candidates ",8
55,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
68,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
108,3,Tesco,NONE,,0.95,"Cluster is L'OR Artiste Vigoroso Instant Coffee 95g. Candidate G is L'OR but different variety (Ristretto Pod vs Artiste Vigoroso), different format (pod vs ins",8
70,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
121,2,Sains,NONE,,1.0,"Cluster is Tetley Green Tea Mango & Passionfruit (50 bags, 100g). Candidates A-H are water filters or pizzas - completely different product categories. No tea p",8
72,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
82,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
76,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
77,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
128,3,Morrisons,NONE,,0.95,"Cluster is Teapigs brand tea (green tea and everyday brew varieties). All Morrisons candidates are either different brands (Terea, Welsh Brew, Lambert & Butler)",8
71,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
120,3,Morrisons,NONE,,0.95,"Cluster is Starbucks Americano House Blend Medium Roast Dolce Gusto pods (12 pack, ~100g). Candidate A is Cappuccino (different flavour), E is Nespresso system ",8
95,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
83,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
87,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
125,2,Sains,NONE,,0.95,"Cluster is PG Tips brand tea bags (40 pack, 116g). Candidate A is Sainsbury's Red Label tea bags (40 pack, 125g) - different brand and different weight. Candida",6
135,3,Tesco,NONE,,0.95,"Cluster is Taylors of Harrogate Rich Italian Beans Roast Coffee (700g beans or 75g coffee bags). Candidates A-F are beverages (liqueurs/wines/cold brew), G-H ar",8
142,2,Morrisons,NONE,,1.0,"The cluster contains L'OR Espresso Lungo Profondo Coffee Pods (a coffee product). Candidates A-H are all vape/nicotine pods, which are completely different prod",8
102,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
126,3,Morrisons,NONE,,0.95,"Cluster contains premium branded loose leaf tea (Gold Label, Finest Gold, ASDA brand) at 250g. Candidate A (Yorkshire Leaf Tea) is a different brand with no spe",8
114,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",7
122,3,Sains,NONE,,0.95,"Cluster contains PG Tips and Ringtons (both original/black tea), all 80 bags. Sainsbury's candidates are either different varieties (Kenya, Ceylon, Earl Grey), ",8
125,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
110,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
114,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
138,3,Sains,NONE,,0.95,"Cluster is Tetley brand Fresh Mint herbal tea. All Sainsbury's candidates are own-brand (not Tetley). While G (Peppermint) is mint-flavored, it's own-brand Sain",8
121,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
133,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
136,3,Tesco,NONE,,0.95,Cluster contains Taylors After Dark and Leon Fairtrade Organic brands (200g). No Tesco candidate matches these specific brands and varieties. All Tesco options ,8
134,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
140,2,Tesco,NONE,,0.95,"Cluster is Good Earth Turmeric Lemon Tea Bags (brand, flavour, pack count all specific). No candidate matches: A is Taylors Lemon & Ginger (different brand, dif",8
150,3,Morrisons,NONE,,0.99,Cluster is Lavazza coffee beans 1000g. Candidates A-H are vaping products and wines - completely different product categories. No coffee products present in Mor,8
140,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
141,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
153,2,Tesco,NONE,,0.95,"Cluster is Aero brand instant hot chocolate powder ~288g. No Tesco candidate matches: A is Stockwell & Co (different brand), B is Tesco Lighter (different brand",8
142,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",5
143,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
143,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
144,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
164,3,Morrisons,NONE,,0.95,"Cluster contains Tetley Herbal Lemon & Ginger (20 bags, 40g) and Teapigs Lemon & Ginger (15 bags, 37.5g). Candidate B has different brand (Good Earth) and inclu",8
161,2,Morrisons,A,24134.0,0.75,Morrisons The Best Hot Chocolate is an own-brand instant hot chocolate matching the cluster's core product type. While 300g is lighter than cluster items (350-3,8
149,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
145,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
168,3,Tesco,NONE,,0.99,"Cluster is Good Earth brand Hibiscus/Rose/Sweet Berries herbal tea bags (15-pack, 39-42g). No Tesco candidate matches: all are different brands (Pukka, Taylors,",8
183,3,Tesco,A,53761.0,0.85,"Tesco Classic Instant Coffee 200g matches the cluster's core product: instant coffee, 200g weight, own-brand. All cluster items are own-brand instant coffee at ",8
153,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
152,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
191,3,Tesco,NONE,,0.95,"The cluster contains Twinings Superblends Calm/Sleep varieties (camomile & vanilla blend, 20 bags, 30g). Candidate A is Tesco own-brand Sleep tea (different bra",8
158,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
157,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
159,3,Tesco,NONE,,0.95,"Cluster is Twinings Superblends Detox with Lemon, Ginger & Fennel. Candidate A is Twinings Green Tea Ginger (different variety/flavour). Candidate B is Twinings",8
165,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
161,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
217,3,Tesco,NONE,,0.95,"Cluster is Starbucks Caramel Latte Premium Instant Coffee Sachets (5 pack, ~107-115g). Candidate B is different variety (Blonde Espresso Roast) and format (whol",8
165,2,Tesco,NONE,,0.95,"Cluster is Cafedirect 5 Organic Mayan Gold Mexico 200g. No Tesco candidate matches: all coffee options are different brands (Tesco Finest, Union, Tchibo) or dif",8
173,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
182,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
214,3,Sains,NONE,,0.95,"The cluster is Tassimo Milk/Creamer Pods (branded, 16-pack, 340g). None of the candidates match: A is soup, B is crackers, C is chocolate milk, D is curd cheese",8
173,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
184,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
227,2,Morrisons,NONE,,0.99,"Candidate A is Waka Sopro Pa600 Blue, a completely different brand (Waka, not Lavazza) and product type (appears to be a different coffee product). Does not mat",1
194,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
186,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
230,3,Sains,NONE,,0.95,"Cluster contains Clipper Everyday/English Breakfast tea (232g, 80 bags). Candidate A is Clipper Decaf (different variety), candidates B-D are Sainsbury's own-br",8
190,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
194,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
211,3,Tesco,NONE,,0.95,"Cluster is Costa Coffee Intensely Dark Amazonian Blend 200g. Candidate B is Mocha Italia Decaf (different variety/flavour), D and F are 255g (different weight),",8
195,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
201,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
231,2,Tesco,A,52100.0,0.85,"Tesco Drinking Chocolate is the same core product as ASDA/Morrisons Drinking Chocolate (own-brand equivalents). However, weight differs (400g vs 500g), which te",8
203,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
