ensemble_cluster_id,cluster_size,strong_flags,weak_flags,flags,n_strong,n_weak,n_flags,max_size_delta_audit,supermarkets,titles_preview,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence_score,likely_good,probe_likely_bad,low_confidence,very_low_text_sim,risk_bucket,suspicious_strong,suspicious_union
5977,4,,cross_category|multi_core_product_name|struct_known_brand_disagree,cross_category|multi_core_product_name|struct_known_brand_disagree,0,3,3,0.093333,ASDA|Morrisons|Sains|Tesco,Hartley's No Added Sugar Raspberry Flavour Jelly || Hartleys Raspberry Jelly || Hartley's Raspberry Jelly Pot Multipack 6x125g || Hartleys No Added Sugar Raspberry 6 Pack Jelly 690G,0.4847086146240089,0.25,1.1029411764705883,2,2,0.4423751205531466,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
6960,3,,cross_category|multi_core_product_name|struct_unit_value_15pct,cross_category|multi_core_product_name|struct_unit_value_15pct,0,3,3,0.142857,ASDA|Sains|Tesco,ASDA Free From Shortbread || Sainsbury's Plant Pioneers Shortbread Rounds 175g || Tesco Free From Shortbread 160G,0.3691977622184781,0.1666666666666666,1.1666666666666667,0,2,0.4631482472999826,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
5701,4,,cross_category|multi_core_product_name|struct_known_brand_disagree,cross_category|multi_core_product_name|struct_known_brand_disagree,0,3,3,0.0,ASDA|Morrisons|Sains|Tesco,Patak's Garlic & Coriander Pappadums x 8 || Patak's Garlic & Coriander Pappadums || Patak’s Garlic & Coriander Poppadoms x8 || Pataks Ready To Eat Garlic & Coriander Papadums 8 Pack,0.43401585676517,0.25,1.0,2,2,0.5006496528993586,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
1695,3,,cross_category|multi_core_product_name|struct_known_brand_disagree,cross_category|multi_core_product_name|struct_known_brand_disagree,0,3,3,0.061033,ASDA|Sains|Tesco,Nairn's Cheese Oatcakes || Nairns Gluten Free Oatcakes 213g || Nairns Gluten Free Oatcakes 213G,0.5311848712914455,0.1666666666666666,1.065,2,2,0.5075712940455401,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
17863,2,,multi_core_product_name|struct_known_brand_disagree|struct_unit_value_15pct,multi_core_product_name|struct_known_brand_disagree|struct_unit_value_15pct,0,3,3,0.0,Sains|Tesco,Foster's Lager Beer Can 12x440ml || Fosters Proper Shandy Lager Beer 10x440ml,0.4910279307005279,0.2857142857142857,1.2,2,1,0.5099643512526072,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
2904,3,,cross_category|multi_core_product_name|struct_known_brand_disagree,cross_category|multi_core_product_name|struct_known_brand_disagree,0,3,3,0.067647,ASDA|Sains|Tesco,Goodfella's Stonebaked Thin Pepperoni Pizza || Goodfella's Gluten Free Pepperoni Pizza 317g || Goodfellas Stone Baked Thin Pepperoni Pizza 332G,0.5157992354838857,0.2222222222222222,1.0725552050473186,2,2,0.5241255982761627,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
3217,4,,cross_category|multi_core_product_name|struct_unit_value_15pct,cross_category|multi_core_product_name|struct_unit_value_15pct,0,3,3,0.070423,ASDA|Morrisons|Sains|Tesco,Oreo Ice Cream 6 x 330ml || Oreo Ice Cream Sticks || Oreo Mini Ice Cream 6x330ml || Oreo Ice Cream Sandwich Minis 6x55ml,0.4067457935579618,0.5,6.0,1,2,0.538129149620079,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
6858,2,,cross_category|multi_core_product_name|struct_known_brand_disagree,cross_category|multi_core_product_name|struct_known_brand_disagree,0,3,3,0.005385,ASDA|Sains,Sharwood's Plain Low Fat Mini Naans X 4 || Sharwoods Plain Flame-Baked Naans x2 260g,0.5541628731468122,0.2222222222222222,1.005413766434648,2,2,0.5405671572745597,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
10680,4,,cross_category|multi_core_product_name|struct_known_brand_disagree,cross_category|multi_core_product_name|struct_known_brand_disagree,0,3,3,0.0,ASDA|Morrisons|Sains|Tesco,Hartley's Strawberry Flavour Jelly || Hartleys Strawberry Jelly || Hartley's Strawberry Jelly Pot Multipack 6x125g || Hartleys Multipack Ready To Eat Strawberry Jelly 6 X125g,0.5398284079546065,0.25,1.0,2,2,0.5459978891234029,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
7649,4,,multi_core_product_name|struct_known_brand_disagree|struct_unit_value_15pct,multi_core_product_name|struct_known_brand_disagree|struct_unit_value_15pct,0,3,3,0.148889,ASDA|Morrisons|Sains|Tesco,Hartley's Orange Flavour Jelly 135g || Hartley's No Added Sugar Orange Jelly Pot || Hartley's Orange Jelly 135g || Hartleys Orange Jelly 135G,0.5773810933421861,0.2857142857142857,1.1749347258485638,2,1,0.5469728495276036,False,True,True,False,weak_heuristic|probe_fail|low_conf,False,True
